,ID,platform_type,time,latitude,longitude,sst,hPa,vn,ve
0,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T01:00:00Z,-38.8356,144.7162,14.4,1008.4,,
1,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T02:00:00Z,-38.8422,144.727,14.39,1007.4,,
2,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T03:00:00Z,-38.8476,144.736,14.36,1006.4,,
3,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T04:00:00Z,-38.852,144.7424,14.36,1005.3,,
4,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T05:00:00Z,-38.8556,144.7454,14.36,1004.8,,
5,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T06:00:00Z,-38.8596,144.744,14.36,1004.9,,
6,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T07:00:00Z,-38.8636,144.741,14.37,1004.3,,
7,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T08:00:00Z,-38.8684,144.739,14.39,1004.7,,
8,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T09:00:00Z,-38.8738,144.7386,14.38,1004.8,,
9,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T10:00:00Z,-38.879,144.7404,14.39,1005.0,,
10,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T11:00:00Z,-38.8842,144.7454,14.4,1004.9,,
11,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T12:00:00Z,-38.8888,144.7548,14.42,1004.8,,
12,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T13:00:00Z,-38.8938,144.766,14.41,1004.5,,
13,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T14:00:00Z,-38.8988,144.7764,14.41,1004.5,,
14,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T15:00:00Z,-38.903,144.7838,14.4,1004.1,,
15,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T16:00:00Z,-38.9062,144.7896,14.39,1003.9,,
16,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T17:00:00Z,-38.9098,144.7916,14.38,1003.9,,
17,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T18:00:00Z,-38.9138,144.7908,14.38,1003.8,,
18,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T19:00:00Z,-38.918,144.787,14.37,1004.0,,
19,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T20:00:00Z,-38.9218,144.7842,14.36,1004.4,,
20,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T21:00:00Z,-38.924,144.7844,14.36,1005.4,,
21,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T22:00:00Z,-38.9232,144.7896,14.34,1005.8,,
22,1601655,DRIFTING BUOYS (GENERIC),2023-07-06T23:00:00Z,-38.9222,144.8006,14.33,1007.0,,
23,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T00:00:00Z,-38.9212,144.8154,14.33,1008.0,,
24,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T01:00:00Z,-38.9212,144.8348,14.32,1007.7,,
25,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T02:00:00Z,-38.921,144.8558,14.32,1007.5,,
26,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T03:00:00Z,-38.921,144.876,14.3,1006.8,,
27,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T04:00:00Z,-38.9204,144.8946,14.29,1006.7,,
28,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T05:00:00Z,-38.9198,144.911,14.29,1006.5,,
29,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T06:00:00Z,-38.9198,144.9244,14.27,1006.2,,
30,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T07:00:00Z,-38.9216,144.9358,14.24,1006.1,,
31,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T08:00:00Z,-38.9242,144.9456,14.2,1006.4,,
32,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T09:00:00Z,-38.9276,144.9548,14.17,1006.4,,
33,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T10:00:00Z,-38.9314,144.9652,14.14,1006.0,,
34,1601655,DRIFTING BUOYS (GENERIC),2023-07-07T11:00:00Z,-38.9354,144.9794,14.11,1005.5,,
